DOMAIN,province,user_type,os,cdn_server,normal,abnormal
a0,*,*,*,*,4086.0,1020.0
a1,*,*,*,*,280.0,68.0
a10,*,*,*,*,375.0,105.0
a11,*,*,*,*,509.0,124.0
a12,*,*,*,*,7470.0,1881.0
a13,*,*,*,*,251.0,172.0
a14,*,*,*,*,590.0,157.0
a15,*,*,*,*,2785.0,695.0
a16,*,*,*,*,6362.0,1612.0
a17,*,*,*,*,1523.0,415.0
a18,*,*,*,*,339.0,78.0
a19,*,*,*,*,15.0,3.0
a2,*,*,*,*,10.0,2.0
a20,*,*,*,*,1897.0,494.0
a21,*,*,*,*,25986.0,6297.0
a22,*,*,*,*,632.0,133.0
a23,*,*,*,*,110.0,22.0
a24,*,*,*,*,348.0,84.0
a25,*,*,*,*,798.0,228.0
a26,*,*,*,*,5.0,1.0
a27,*,*,*,*,736.0,185.0
a28,*,*,*,*,373.0,80.0
a29,*,*,*,*,570.0,183.0
a3,*,*,*,*,4001.0,976.0
a30,*,*,*,*,410.0,109.0
a31,*,*,*,*,416.0,130.0
a32,*,*,*,*,490.0,149.0
a33,*,*,*,*,438.0,105.0
a34,*,*,*,*,453.0,135.0
a35,*,*,*,*,416.0,118.0
a36,*,*,*,*,441.0,117.0
a37,*,*,*,*,251.0,64.0
a38,*,*,*,*,506.0,130.0
a39,*,*,*,*,412.0,104.0
a4,*,*,*,*,3886.0,977.0
a40,*,*,*,*,564.0,147.0
a41,*,*,*,*,672.0,162.0
a42,*,*,*,*,439.0,113.0
a43,*,*,*,*,565.0,122.0
a44,*,*,*,*,627.0,141.0
a45,*,*,*,*,30.0,6.0
a46,*,*,*,*,346.0,65.0
a47,*,*,*,*,486.0,126.0
a5,*,*,*,*,998.0,238.0
a6,*,*,*,*,667.0,170.0
a7,*,*,*,*,342.0,81.0
a8,*,*,*,*,1876.0,506.0
a9,*,*,*,*,495.0,135.0
*,b0,*,*,*,15169.0,3928.0
*,b1,*,*,*,1249.0,281.0
*,b10,*,*,*,248.0,58.0
*,b11,*,*,*,750.0,171.0
*,b12,*,*,*,1335.0,327.0
*,b13,*,*,*,263.0,70.0
*,b14,*,*,*,3118.0,739.0
*,b15,*,*,*,726.0,192.0
*,b16,*,*,*,1322.0,319.0
*,b17,*,*,*,3697.0,962.0
*,b18,*,*,*,6685.0,1595.0
*,b19,*,*,*,471.0,123.0
*,b2,*,*,*,269.0,61.0
*,b20,*,*,*,676.0,182.0
*,b21,*,*,*,263.0,67.0
*,b22,*,*,*,231.0,60.0
*,b23,*,*,*,1096.0,245.0
*,b24,*,*,*,423.0,117.0
*,b25,*,*,*,1962.0,510.0
*,b26,*,*,*,69.0,15.0
*,b27,*,*,*,438.0,126.0
*,b28,*,*,*,158.0,58.0
*,b3,*,*,*,1482.0,375.0
*,b4,*,*,*,797.0,175.0
*,b5,*,*,*,567.0,147.0
*,b6,*,*,*,950.0,244.0
*,b7,*,*,*,7.0,2.0
*,b8,*,*,*,1550.0,373.0
*,b9,*,*,*,30306.0,7643.0
*,*,c0,*,*,16961.0,4317.0
*,*,c1,*,*,16928.0,4284.0
*,*,c2,*,*,7537.0,1883.0
*,*,c3,*,*,12462.0,3047.0
*,*,c4,*,*,9718.0,2502.0
*,*,c5,*,*,12671.0,3132.0
*,*,*,d0,*,19216.0,4790.0
*,*,*,d1,*,17782.0,4511.0
*,*,*,d2,*,11130.0,2826.0
*,*,*,d3,*,17465.0,4399.0
*,*,*,d4,*,10684.0,2639.0
*,*,*,*,e0,405.0,111.0
*,*,*,*,e1,430.0,104.0
*,*,*,*,e10,428.0,103.0
*,*,*,*,e100,107.0,31.0
*,*,*,*,e101,200.0,49.0
*,*,*,*,e102,217.0,26.0
*,*,*,*,e103,192.0,57.0
*,*,*,*,e104,214.0,62.0
*,*,*,*,e105,186.0,42.0
*,*,*,*,e106,203.0,46.0
*,*,*,*,e107,224.0,46.0
*,*,*,*,e108,171.0,51.0
*,*,*,*,e109,187.0,53.0
*,*,*,*,e11,454.0,107.0
*,*,*,*,e110,191.0,46.0
*,*,*,*,e111,210.0,45.0
*,*,*,*,e112,193.0,41.0
*,*,*,*,e113,189.0,54.0
*,*,*,*,e114,197.0,64.0
*,*,*,*,e115,201.0,57.0
*,*,*,*,e116,200.0,52.0
*,*,*,*,e117,197.0,61.0
*,*,*,*,e118,206.0,43.0
*,*,*,*,e119,188.0,46.0
*,*,*,*,e12,440.0,94.0
*,*,*,*,e120,8.0,0.0
*,*,*,*,e121,6.0,2.0
*,*,*,*,e122,6.0,2.0
*,*,*,*,e123,5.0,3.0
*,*,*,*,e124,6.0,2.0
*,*,*,*,e125,6.0,2.0
*,*,*,*,e126,218.0,49.0
*,*,*,*,e127,186.0,60.0
*,*,*,*,e128,408.0,108.0
*,*,*,*,e129,420.0,117.0
*,*,*,*,e13,430.0,98.0
*,*,*,*,e130,454.0,116.0
*,*,*,*,e131,440.0,97.0
*,*,*,*,e132,440.0,119.0
*,*,*,*,e133,412.0,99.0
*,*,*,*,e134,424.0,114.0
*,*,*,*,e135,465.0,105.0
*,*,*,*,e136,453.0,100.0
*,*,*,*,e137,414.0,112.0
*,*,*,*,e138,434.0,99.0
*,*,*,*,e139,417.0,102.0
*,*,*,*,e14,431.0,103.0
*,*,*,*,e140,440.0,98.0
*,*,*,*,e141,422.0,113.0
*,*,*,*,e142,416.0,98.0
*,*,*,*,e143,623.0,149.0
*,*,*,*,e144,72.0,15.0
*,*,*,*,e145,69.0,18.0
*,*,*,*,e146,71.0,16.0
*,*,*,*,e147,66.0,12.0
*,*,*,*,e148,62.0,16.0
*,*,*,*,e149,56.0,22.0
*,*,*,*,e15,452.0,106.0
*,*,*,*,e150,69.0,12.0
*,*,*,*,e151,75.0,21.0
*,*,*,*,e152,72.0,24.0
*,*,*,*,e153,137.0,28.0
*,*,*,*,e154,120.0,39.0
*,*,*,*,e155,53.0,10.0
*,*,*,*,e156,82.0,17.0
*,*,*,*,e157,90.0,15.0
*,*,*,*,e158,68.0,16.0
*,*,*,*,e159,54.0,18.0
*,*,*,*,e16,458.0,94.0
*,*,*,*,e160,68.0,25.0
*,*,*,*,e161,75.0,18.0
*,*,*,*,e162,80.0,19.0
*,*,*,*,e163,77.0,16.0
*,*,*,*,e164,74.0,16.0
*,*,*,*,e165,74.0,13.0
*,*,*,*,e166,72.0,27.0
*,*,*,*,e167,86.0,28.0
*,*,*,*,e168,86.0,31.0
*,*,*,*,e169,118.0,29.0
*,*,*,*,e17,480.0,111.0
*,*,*,*,e170,58.0,14.0
*,*,*,*,e171,49.0,11.0
*,*,*,*,e172,117.0,21.0
*,*,*,*,e173,66.0,18.0
*,*,*,*,e174,68.0,16.0
*,*,*,*,e175,52.0,14.0
*,*,*,*,e176,659.0,181.0
*,*,*,*,e177,676.0,170.0
*,*,*,*,e178,123.0,30.0
*,*,*,*,e179,131.0,34.0
*,*,*,*,e18,469.0,104.0
*,*,*,*,e180,132.0,36.0
*,*,*,*,e181,130.0,29.0
*,*,*,*,e182,663.0,165.0
*,*,*,*,e183,665.0,157.0
*,*,*,*,e184,678.0,177.0
*,*,*,*,e185,662.0,154.0
*,*,*,*,e186,650.0,169.0
*,*,*,*,e187,649.0,164.0
*,*,*,*,e188,665.0,184.0
*,*,*,*,e189,674.0,157.0
*,*,*,*,e19,403.0,113.0
*,*,*,*,e190,670.0,173.0
*,*,*,*,e191,680.0,157.0
*,*,*,*,e192,75.0,15.0
*,*,*,*,e193,76.0,17.0
*,*,*,*,e194,81.0,21.0
*,*,*,*,e195,112.0,32.0
*,*,*,*,e196,113.0,25.0
*,*,*,*,e197,106.0,23.0
*,*,*,*,e198,94.0,26.0
*,*,*,*,e199,66.0,18.0
*,*,*,*,e2,383.0,94.0
*,*,*,*,e20,456.0,108.0
*,*,*,*,e200,65.0,16.0
*,*,*,*,e201,69.0,15.0
*,*,*,*,e202,88.0,17.0
*,*,*,*,e203,100.0,20.0
*,*,*,*,e204,94.0,20.0
*,*,*,*,e205,96.0,21.0
*,*,*,*,e21,466.0,107.0
*,*,*,*,e22,438.0,117.0
*,*,*,*,e23,411.0,108.0
*,*,*,*,e24,436.0,113.0
*,*,*,*,e25,419.0,97.0
*,*,*,*,e26,405.0,96.0
*,*,*,*,e27,446.0,115.0
*,*,*,*,e28,447.0,99.0
*,*,*,*,e29,415.0,122.0
*,*,*,*,e3,429.0,102.0
*,*,*,*,e30,412.0,110.0
*,*,*,*,e31,450.0,108.0
*,*,*,*,e32,473.0,106.0
*,*,*,*,e33,388.0,104.0
*,*,*,*,e34,410.0,91.0
*,*,*,*,e35,410.0,97.0
*,*,*,*,e36,418.0,107.0
*,*,*,*,e37,452.0,124.0
*,*,*,*,e38,802.0,224.0
*,*,*,*,e39,821.0,208.0
*,*,*,*,e4,417.0,111.0
*,*,*,*,e40,849.0,210.0
*,*,*,*,e41,812.0,226.0
*,*,*,*,e42,819.0,225.0
*,*,*,*,e43,823.0,206.0
*,*,*,*,e44,759.0,210.0
*,*,*,*,e45,845.0,223.0
*,*,*,*,e46,832.0,239.0
*,*,*,*,e47,446.0,94.0
*,*,*,*,e48,457.0,98.0
*,*,*,*,e49,418.0,128.0
*,*,*,*,e5,412.0,104.0
*,*,*,*,e50,420.0,99.0
*,*,*,*,e51,426.0,111.0
*,*,*,*,e52,470.0,115.0
*,*,*,*,e53,468.0,96.0
*,*,*,*,e54,412.0,101.0
*,*,*,*,e55,433.0,119.0
*,*,*,*,e56,437.0,97.0
*,*,*,*,e57,480.0,111.0
*,*,*,*,e58,452.0,106.0
*,*,*,*,e59,454.0,119.0
*,*,*,*,e6,484.0,110.0
*,*,*,*,e60,455.0,118.0
*,*,*,*,e61,425.0,106.0
*,*,*,*,e62,409.0,83.0
*,*,*,*,e63,778.0,212.0
*,*,*,*,e64,788.0,207.0
*,*,*,*,e65,807.0,216.0
*,*,*,*,e66,770.0,193.0
*,*,*,*,e67,763.0,182.0
*,*,*,*,e68,791.0,178.0
*,*,*,*,e69,777.0,210.0
*,*,*,*,e7,437.0,100.0
*,*,*,*,e70,779.0,184.0
*,*,*,*,e71,755.0,220.0
*,*,*,*,e72,784.0,194.0
*,*,*,*,e73,764.0,199.0
*,*,*,*,e74,783.0,207.0
*,*,*,*,e75,784.0,188.0
*,*,*,*,e76,771.0,195.0
*,*,*,*,e77,761.0,190.0
*,*,*,*,e78,782.0,174.0
*,*,*,*,e79,752.0,190.0
*,*,*,*,e8,442.0,116.0
*,*,*,*,e80,766.0,218.0
*,*,*,*,e81,761.0,202.0
*,*,*,*,e82,785.0,217.0
*,*,*,*,e83,798.0,204.0
*,*,*,*,e84,744.0,192.0
*,*,*,*,e85,757.0,206.0
*,*,*,*,e86,775.0,200.0
*,*,*,*,e87,799.0,230.0
*,*,*,*,e88,198.0,51.0
*,*,*,*,e89,196.0,38.0
*,*,*,*,e9,428.0,94.0
*,*,*,*,e90,214.0,56.0
*,*,*,*,e91,195.0,51.0
*,*,*,*,e92,188.0,52.0
*,*,*,*,e93,211.0,44.0
*,*,*,*,e94,203.0,55.0
*,*,*,*,e95,202.0,50.0
*,*,*,*,e96,225.0,39.0
*,*,*,*,e97,221.0,55.0
*,*,*,*,e98,182.0,58.0
*,*,*,*,e99,206.0,52.0
