DOMAIN,province,user_type,os,cdn_server,normal,abnormal
a0,b0,*,*,*,421.0,419.0
a0,b1,*,*,*,28.0,38.0
a0,b12,*,*,*,14.0,10.0
a0,b14,*,*,*,164.0,136.0
a0,b16,*,*,*,1.0,2.0
a0,b17,*,*,*,403.0,455.0
a0,b18,*,*,*,457.0,473.0
a0,b3,*,*,*,14.0,28.0
a0,b6,*,*,*,50.0,52.0
a0,b9,*,*,*,994.0,947.0
a1,b0,*,*,*,15.0,12.0
a1,b17,*,*,*,17.0,10.0
a1,b18,*,*,*,33.0,39.0
a1,b3,*,*,*,1.0,2.0
a1,b9,*,*,*,104.0,115.0
a10,b0,*,*,*,49.0,38.0
a10,b9,*,*,*,167.0,226.0
a11,b0,*,*,*,75.0,84.0
a11,b14,*,*,*,13.0,14.0
a11,b9,*,*,*,228.0,219.0
a12,b0,*,*,*,1109.0,1045.0
a12,b1,*,*,*,7.0,11.0
a12,b10,*,*,*,6.0,3.0
a12,b11,*,*,*,28.0,32.0
a12,b12,*,*,*,94.0,95.0
a12,b13,*,*,*,71.0,91.0
a12,b14,*,*,*,117.0,117.0
a12,b15,*,*,*,59.0,43.0
a12,b16,*,*,*,38.0,40.0
a12,b17,*,*,*,79.0,83.0
a12,b18,*,*,*,14.0,13.0
a12,b2,*,*,*,69.0,63.0
a12,b20,*,*,*,86.0,79.0
a12,b21,*,*,*,22.0,11.0
a12,b22,*,*,*,2.0,1.0
a12,b23,*,*,*,29.0,31.0
a12,b24,*,*,*,48.0,54.0
a12,b25,*,*,*,298.0,299.0
a12,b27,*,*,*,201.0,180.0
a12,b3,*,*,*,256.0,221.0
a12,b4,*,*,*,193.0,158.0
a12,b5,*,*,*,124.0,128.0
a12,b6,*,*,*,72.0,96.0
a12,b8,*,*,*,43.0,59.0
a12,b9,*,*,*,1692.0,1641.0
a13,b0,*,*,*,56.0,55.0
a13,b9,*,*,*,154.0,158.0
a14,b0,*,*,*,89.0,85.0
a14,b17,*,*,*,31.0,35.0
a14,b18,*,*,*,32.0,52.0
a14,b3,*,*,*,2.0,1.0
a14,b9,*,*,*,212.0,208.0
a15,b0,*,*,*,447.0,444.0
a15,b11,*,*,*,50.0,31.0
a15,b14,*,*,*,66.0,54.0
a15,b15,*,*,*,9.0,6.0
a15,b16,*,*,*,31.0,38.0
a15,b17,*,*,*,177.0,183.0
a15,b20,*,*,*,22.0,26.0
a15,b27,*,*,*,15.0,21.0
a15,b28,*,*,*,15.0,21.0
a15,b3,*,*,*,76.0,50.0
a15,b4,*,*,*,13.0,23.0
a15,b6,*,*,*,21.0,27.0
a15,b8,*,*,*,109.0,107.0
a15,b9,*,*,*,700.0,698.0
a16,b0,*,*,*,611.0,565.0
a16,b1,*,*,*,9.0,12.0
a16,b10,*,*,*,35.0,31.0
a16,b11,*,*,*,165.0,129.0
a16,b12,*,*,*,22.0,11.0
a16,b13,*,*,*,76.0,53.0
a16,b14,*,*,*,246.0,267.0
a16,b15,*,*,*,191.0,223.0
a16,b16,*,*,*,373.0,311.0
a16,b17,*,*,*,302.0,283.0
a16,b18,*,*,*,12.0,15.0
a16,b2,*,*,*,6.0,3.0
a16,b20,*,*,*,77.0,73.0
a16,b21,*,*,*,32.0,31.0
a16,b22,*,*,*,14.0,22.0
a16,b23,*,*,*,24.0,42.0
a16,b24,*,*,*,23.0,19.0
a16,b25,*,*,*,4.0,2.0
a16,b27,*,*,*,33.0,39.0
a16,b28,*,*,*,90.0,84.0
a16,b3,*,*,*,196.0,206.0
