DOMAIN,province,user_type,os,cdn_server,normal,abnormal
a0,*,*,*,*,4608.0,498.0
a1,*,*,*,*,312.0,36.0
a10,*,*,*,*,428.0,52.0
a11,*,*,*,*,579.0,54.0
a12,*,*,*,*,8398.0,953.0
a13,*,*,*,*,372.0,51.0
a14,*,*,*,*,680.0,67.0
a15,*,*,*,*,3135.0,345.0
a16,*,*,*,*,7170.0,804.0
a17,*,*,*,*,1756.0,182.0
a18,*,*,*,*,377.0,40.0
a19,*,*,*,*,14.0,4.0
a2,*,*,*,*,12.0,0.0
a20,*,*,*,*,2141.0,250.0
a21,*,*,*,*,29062.0,3221.0
a22,*,*,*,*,674.0,91.0
a23,*,*,*,*,116.0,16.0
a24,*,*,*,*,400.0,32.0
a25,*,*,*,*,916.0,110.0
a26,*,*,*,*,6.0,0.0
a27,*,*,*,*,844.0,77.0
a28,*,*,*,*,407.0,46.0
a29,*,*,*,*,684.0,69.0
a3,*,*,*,*,4458.0,519.0
a30,*,*,*,*,455.0,64.0
a31,*,*,*,*,490.0,56.0
a32,*,*,*,*,585.0,54.0
a33,*,*,*,*,498.0,45.0
a34,*,*,*,*,528.0,60.0
a35,*,*,*,*,487.0,47.0
a36,*,*,*,*,518.0,40.0
a37,*,*,*,*,279.0,36.0
a38,*,*,*,*,565.0,71.0
a39,*,*,*,*,464.0,52.0
a4,*,*,*,*,4376.0,487.0
a40,*,*,*,*,645.0,66.0
a41,*,*,*,*,747.0,87.0
a42,*,*,*,*,506.0,46.0
a43,*,*,*,*,626.0,61.0
a44,*,*,*,*,696.0,72.0
a45,*,*,*,*,29.0,7.0
a46,*,*,*,*,369.0,42.0
a47,*,*,*,*,545.0,67.0
a5,*,*,*,*,1113.0,123.0
a6,*,*,*,*,750.0,87.0
a7,*,*,*,*,369.0,54.0
a8,*,*,*,*,2155.0,227.0
a9,*,*,*,*,571.0,59.0
*,b0,*,*,*,17136.0,1961.0
*,b1,*,*,*,1381.0,149.0
*,b10,*,*,*,274.0,32.0
*,b11,*,*,*,830.0,91.0
*,b12,*,*,*,1479.0,183.0
*,b13,*,*,*,301.0,32.0
*,b14,*,*,*,3452.0,405.0
*,b15,*,*,*,844.0,74.0
*,b16,*,*,*,1494.0,147.0
*,b17,*,*,*,4192.0,467.0
*,b18,*,*,*,7506.0,774.0
*,b19,*,*,*,517.0,77.0
*,b2,*,*,*,289.0,41.0
*,b20,*,*,*,766.0,92.0
*,b21,*,*,*,290.0,40.0
*,b22,*,*,*,267.0,24.0
*,b23,*,*,*,1219.0,122.0
*,b24,*,*,*,487.0,53.0
*,b25,*,*,*,2240.0,232.0
*,b26,*,*,*,78.0,6.0
*,b27,*,*,*,509.0,55.0
*,b28,*,*,*,193.0,23.0
*,b3,*,*,*,1676.0,181.0
*,b4,*,*,*,894.0,78.0
*,b5,*,*,*,644.0,70.0
*,b6,*,*,*,1085.0,109.0
*,b7,*,*,*,9.0,0.0
*,b8,*,*,*,1712.0,211.0
*,b9,*,*,*,34151.0,3798.0
*,*,c0,*,*,19126.0,2152.0
*,*,c1,*,*,19140.0,2072.0
*,*,c2,*,*,8513.0,907.0
*,*,c3,*,*,13944.0,1565.0
*,*,c4,*,*,11006.0,1214.0
*,*,c5,*,*,14186.0,1617.0
