DOMAIN,province,user_type,os,cdn_server,normal,abnormal
a0,*,*,*,*,3060,2046
a1,*,*,*,*,200,148
a10,*,*,*,*,291,189
a11,*,*,*,*,375,258
a12,*,*,*,*,5644,3707
a13,*,*,*,*,253,170
a14,*,*,*,*,454,293
a15,*,*,*,*,2065,1415
a16,*,*,*,*,4723,3251
a17,*,*,*,*,1160,778
a18,*,*,*,*,263,154
a19,*,*,*,*,5,13
a2,*,*,*,*,10,2
a20,*,*,*,*,1443,948
a21,*,*,*,*,19288,12995
a22,*,*,*,*,462,303
a23,*,*,*,*,85,47
a24,*,*,*,*,252,180
a25,*,*,*,*,608,418
a26,*,*,*,*,4,2
a27,*,*,*,*,549,372
a28,*,*,*,*,252,201
a29,*,*,*,*,464,289
a3,*,*,*,*,2958,2019
a30,*,*,*,*,303,216
a31,*,*,*,*,313,233
a32,*,*,*,*,383,256
a33,*,*,*,*,334,209
a34,*,*,*,*,356,232
a35,*,*,*,*,323,211
a36,*,*,*,*,312,246
a37,*,*,*,*,194,121
a38,*,*,*,*,362,274
a39,*,*,*,*,309,207
a4,*,*,*,*,2920,1943
a40,*,*,*,*,421,290
a41,*,*,*,*,506,328
a42,*,*,*,*,332,220
a43,*,*,*,*,410,277
a44,*,*,*,*,456,312
a45,*,*,*,*,23,13
a46,*,*,*,*,257,154
a47,*,*,*,*,373,239
a5,*,*,*,*,738,498
a6,*,*,*,*,502,335
a7,*,*,*,*,243,180
a8,*,*,*,*,1388,994
a9,*,*,*,*,386,244
*,b0,*,*,*,11404,7693
*,b1,*,*,*,894,636
*,b10,*,*,*,192,114
*,b11,*,*,*,540,381
*,b12,*,*,*,999,663
*,b13,*,*,*,201,132
*,b14,*,*,*,2293,1564
*,b15,*,*,*,548,370
*,b16,*,*,*,960,681
*,b17,*,*,*,2767,1892
*,b18,*,*,*,4969,3311
*,b19,*,*,*,345,249
*,b2,*,*,*,202,128
*,b20,*,*,*,536,322
*,b21,*,*,*,199,131
*,b22,*,*,*,178,113
*,b23,*,*,*,821,520
*,b24,*,*,*,329,211
*,b25,*,*,*,1515,957
*,b26,*,*,*,50,34
*,b27,*,*,*,326,238
*,b28,*,*,*,127,89
*,b3,*,*,*,1085,772
*,b4,*,*,*,605,367
*,b5,*,*,*,434,280
*,b6,*,*,*,707,487
*,b7,*,*,*,3,6
*,b8,*,*,*,1149,774
*,b9,*,*,*,22634,15315
*,*,c0,*,*,12841,8437
*,*,c1,*,*,12531,8681
*,*,c2,*,*,5652,3768
*,*,c3,*,*,9206,6303
*,*,c4,*,*,7356,4864
*,*,c5,*,*,9426,6377
*,*,*,d0,*,14298,9708
*,*,*,d1,*,13296,8997
*,*,*,d2,*,8376,5580
*,*,*,d3,*,13085,8779
*,*,*,d4,*,7957,5366
*,*,*,*,e0,307,209
*,*,*,*,e1,315,219
*,*,*,*,e10,320,211
*,*,*,*,e100,77,61
*,*,*,*,e101,147,102
*,*,*,*,e102,149,94
*,*,*,*,e103,166,83
*,*,*,*,e104,164,112
*,*,*,*,e105,131,97
*,*,*,*,e106,148,101
*,*,*,*,e107,157,113
*,*,*,*,e108,125,97
*,*,*,*,e109,147,93
*,*,*,*,e11,322,239
*,*,*,*,e110,144,93
*,*,*,*,e111,146,109
*,*,*,*,e112,131,103
*,*,*,*,e113,137,106
*,*,*,*,e114,153,108
*,*,*,*,e115,169,89
*,*,*,*,e116,149,103
*,*,*,*,e117,165,93
*,*,*,*,e118,161,88
*,*,*,*,e119,137,97
*,*,*,*,e12,320,214
*,*,*,*,e120,7,1
*,*,*,*,e121,5,3
*,*,*,*,e122,4,4
*,*,*,*,e123,5,3
*,*,*,*,e124,5,3
*,*,*,*,e125,6,2
*,*,*,*,e126,164,103
*,*,*,*,e127,150,96
*,*,*,*,e128,289,227
*,*,*,*,e129,307,230
*,*,*,*,e13,323,205
*,*,*,*,e130,355,215
*,*,*,*,e131,324,213
*,*,*,*,e132,342,217
*,*,*,*,e133,303,208
*,*,*,*,e134,328,210
*,*,*,*,e135,348,222
*,*,*,*,e136,323,230
*,*,*,*,e137,311,215
*,*,*,*,e138,321,212
*,*,*,*,e139,313,206
*,*,*,*,e14,336,198
*,*,*,*,e140,292,246
*,*,*,*,e141,335,200
*,*,*,*,e142,281,233
*,*,*,*,e143,476,296
*,*,*,*,e144,40,47
*,*,*,*,e145,52,35
*,*,*,*,e146,49,38
*,*,*,*,e147,47,31
*,*,*,*,e148,50,28
*,*,*,*,e149,51,27
*,*,*,*,e15,322,236
*,*,*,*,e150,55,26
*,*,*,*,e151,53,43
*,*,*,*,e152,53,43
*,*,*,*,e153,105,60
*,*,*,*,e154,95,64
*,*,*,*,e155,43,20
*,*,*,*,e156,54,45
*,*,*,*,e157,56,49
*,*,*,*,e158,51,33
*,*,*,*,e159,44,28
*,*,*,*,e16,308,244
*,*,*,*,e160,59,34
*,*,*,*,e161,49,44
*,*,*,*,e162,53,46
*,*,*,*,e163,56,37
*,*,*,*,e164,62,28
*,*,*,*,e165,58,29
*,*,*,*,e166,54,45
*,*,*,*,e167,66,48
*,*,*,*,e168,70,47
*,*,*,*,e169,76,71
*,*,*,*,e17,351,240
*,*,*,*,e170,48,24
*,*,*,*,e171,39,21
*,*,*,*,e172,82,56
*,*,*,*,e173,52,32
*,*,*,*,e174,48,36
*,*,*,*,e175,33,33
*,*,*,*,e176,514,326
*,*,*,*,e177,508,338
*,*,*,*,e178,93,60
*,*,*,*,e179,100,65
*,*,*,*,e18,336,237
*,*,*,*,e180,81,87
*,*,*,*,e181,81,78
*,*,*,*,e182,477,351
*,*,*,*,e183,490,332
*,*,*,*,e184,505,350
*,*,*,*,e185,469,347
*,*,*,*,e186,487,332
*,*,*,*,e187,486,327
*,*,*,*,e188,492,357
*,*,*,*,e189,484,347
*,*,*,*,e19,300,216
*,*,*,*,e190,503,340
*,*,*,*,e191,497,340
*,*,*,*,e192,50,40
*,*,*,*,e193,54,39
*,*,*,*,e194,62,40
*,*,*,*,e195,95,49
*,*,*,*,e196,80,58
*,*,*,*,e197,77,52
*,*,*,*,e198,63,57
*,*,*,*,e199,52,32
*,*,*,*,e2,278,199
*,*,*,*,e20,331,233
*,*,*,*,e200,45,36
*,*,*,*,e201,49,35
*,*,*,*,e202,64,41
*,*,*,*,e203,63,57
*,*,*,*,e204,73,41
*,*,*,*,e205,76,41
*,*,*,*,e21,339,234
*,*,*,*,e22,351,204
*,*,*,*,e23,332,187
*,*,*,*,e24,329,220
*,*,*,*,e25,329,187
*,*,*,*,e26,304,197
*,*,*,*,e27,349,212
*,*,*,*,e28,312,234
*,*,*,*,e29,308,229
*,*,*,*,e3,324,207
*,*,*,*,e30,335,187
*,*,*,*,e31,352,206
*,*,*,*,e32,344,235
*,*,*,*,e33,297,195
*,*,*,*,e34,295,206
*,*,*,*,e35,303,204
*,*,*,*,e36,312,213
*,*,*,*,e37,346,230
*,*,*,*,e38,605,421
*,*,*,*,e39,586,443
*,*,*,*,e4,335,193
*,*,*,*,e40,624,435
*,*,*,*,e41,617,421
*,*,*,*,e42,624,420
*,*,*,*,e43,630,399
*,*,*,*,e44,587,382
*,*,*,*,e45,643,425
*,*,*,*,e46,650,421
*,*,*,*,e47,339,201
*,*,*,*,e48,315,240
*,*,*,*,e49,321,225
*,*,*,*,e5,300,216
*,*,*,*,e50,316,203
*,*,*,*,e51,320,217
*,*,*,*,e52,367,218
*,*,*,*,e53,357,207
*,*,*,*,e54,313,200
*,*,*,*,e55,336,216
*,*,*,*,e56,305,229
*,*,*,*,e57,356,235
*,*,*,*,e58,328,230
*,*,*,*,e59,339,234
*,*,*,*,e6,355,239
*,*,*,*,e60,348,225
*,*,*,*,e61,321,210
*,*,*,*,e62,285,207
*,*,*,*,e63,615,375
*,*,*,*,e64,607,388
*,*,*,*,e65,604,419
*,*,*,*,e66,573,390
*,*,*,*,e67,558,387
*,*,*,*,e68,595,374
*,*,*,*,e69,569,418
*,*,*,*,e7,305,232
*,*,*,*,e70,572,391
*,*,*,*,e71,599,376
*,*,*,*,e72,584,394
*,*,*,*,e73,569,394
*,*,*,*,e74,603,387
*,*,*,*,e75,550,422
*,*,*,*,e76,577,389
*,*,*,*,e77,581,370
*,*,*,*,e78,577,379
*,*,*,*,e79,553,389
*,*,*,*,e8,328,230
*,*,*,*,e80,594,390
*,*,*,*,e81,582,381
*,*,*,*,e82,593,409
*,*,*,*,e83,614,388
*,*,*,*,e84,564,372
*,*,*,*,e85,566,397
*,*,*,*,e86,583,392
*,*,*,*,e87,597,432
*,*,*,*,e88,140,109
*,*,*,*,e89,145,89
*,*,*,*,e9,327,195
*,*,*,*,e90,163,107
*,*,*,*,e91,149,97
*,*,*,*,e92,159,81
*,*,*,*,e93,148,107
*,*,*,*,e94,161,97
*,*,*,*,e95,149,103
*,*,*,*,e96,165,99
*,*,*,*,e97,162,114
*,*,*,*,e98,140,100
*,*,*,*,e99,170,88
