DOMAIN,province,user_type,os,cdn_server,normal,abnormal
a0,*,*,*,*,3575,1531
a1,*,*,*,*,230,118
a10,*,*,*,*,328,152
a11,*,*,*,*,436,197
a12,*,*,*,*,6545,2806
a13,*,*,*,*,297,126
a14,*,*,*,*,517,230
a15,*,*,*,*,2475,1005
a16,*,*,*,*,5523,2451
a17,*,*,*,*,1320,618
a18,*,*,*,*,279,138
a19,*,*,*,*,15,3
a2,*,*,*,*,7,5
a20,*,*,*,*,1670,721
a21,*,*,*,*,22702,9581
a22,*,*,*,*,536,229
a23,*,*,*,*,99,33
a24,*,*,*,*,313,119
a25,*,*,*,*,704,322
a26,*,*,*,*,4,2
a27,*,*,*,*,665,256
a28,*,*,*,*,316,137
a29,*,*,*,*,530,223
a3,*,*,*,*,3506,1471
a30,*,*,*,*,371,148
a31,*,*,*,*,391,155
a32,*,*,*,*,453,186
a33,*,*,*,*,379,164
a34,*,*,*,*,431,157
a35,*,*,*,*,388,146
a36,*,*,*,*,388,170
a37,*,*,*,*,211,104
a38,*,*,*,*,439,197
a39,*,*,*,*,352,164
a4,*,*,*,*,3383,1480
a40,*,*,*,*,509,202
a41,*,*,*,*,558,276
a42,*,*,*,*,389,163
a43,*,*,*,*,479,208
a44,*,*,*,*,535,233
a45,*,*,*,*,28,8
a46,*,*,*,*,287,124
a47,*,*,*,*,409,203
a5,*,*,*,*,873,363
a6,*,*,*,*,577,260
a7,*,*,*,*,303,120
a8,*,*,*,*,1644,738
a9,*,*,*,*,453,177
*,b0,*,*,*,13375,5722
*,b1,*,*,*,1102,428
*,b10,*,*,*,218,88
*,b11,*,*,*,636,285
*,b12,*,*,*,1191,471
*,b13,*,*,*,231,102
*,b14,*,*,*,2677,1180
*,b15,*,*,*,652,266
*,b16,*,*,*,1115,526
*,b17,*,*,*,3281,1378
*,b18,*,*,*,5821,2459
*,b19,*,*,*,397,197
*,b2,*,*,*,234,96
*,b20,*,*,*,601,257
*,b21,*,*,*,233,97
*,b22,*,*,*,218,73
*,b23,*,*,*,916,425
*,b24,*,*,*,371,169
*,b25,*,*,*,1760,712
*,b26,*,*,*,52,32
*,b27,*,*,*,403,161
*,b28,*,*,*,151,65
*,b3,*,*,*,1274,583
*,b4,*,*,*,687,285
*,b5,*,*,*,510,204
*,b6,*,*,*,818,376
*,b7,*,*,*,5,4
*,b8,*,*,*,1337,586
*,b9,*,*,*,26556,11393
*,*,c0,*,*,14870,6408
*,*,c1,*,*,14866,6346
*,*,c2,*,*,6583,2837
*,*,c3,*,*,10861,4648
*,*,c4,*,*,8563,3657
*,*,c5,*,*,11079,4724
*,*,*,d0,*,16859,7147
*,*,*,d1,*,15649,6644
*,*,*,d2,*,9777,4179
*,*,*,d3,*,15233,6631
*,*,*,d4,*,9304,4019
*,*,*,*,e0,377,139
*,*,*,*,e1,369,165
*,*,*,*,e10,371,160
*,*,*,*,e100,102,36
*,*,*,*,e101,172,77
*,*,*,*,e102,170,73
*,*,*,*,e103,166,83
*,*,*,*,e104,199,77
*,*,*,*,e105,167,61
*,*,*,*,e106,171,78
*,*,*,*,e107,186,84
*,*,*,*,e108,150,72
*,*,*,*,e109,173,67
*,*,*,*,e11,395,166
*,*,*,*,e110,170,67
*,*,*,*,e111,169,86
*,*,*,*,e112,163,71
*,*,*,*,e113,169,74
*,*,*,*,e114,180,81
*,*,*,*,e115,186,72
*,*,*,*,e116,178,74
*,*,*,*,e117,191,67
*,*,*,*,e118,177,72
*,*,*,*,e119,164,70
*,*,*,*,e12,368,166
*,*,*,*,e120,4,4
*,*,*,*,e121,6,2
*,*,*,*,e122,6,2
*,*,*,*,e123,3,5
*,*,*,*,e124,6,2
*,*,*,*,e125,7,1
*,*,*,*,e126,198,69
*,*,*,*,e127,186,60
*,*,*,*,e128,348,168
*,*,*,*,e129,372,165
*,*,*,*,e13,359,169
*,*,*,*,e130,387,183
*,*,*,*,e131,377,160
*,*,*,*,e132,393,166
*,*,*,*,e133,353,158
*,*,*,*,e134,376,162
*,*,*,*,e135,399,171
*,*,*,*,e136,384,169
*,*,*,*,e137,373,153
*,*,*,*,e138,386,147
*,*,*,*,e139,351,168
*,*,*,*,e14,353,181
*,*,*,*,e140,387,151
*,*,*,*,e141,380,155
*,*,*,*,e142,352,162
*,*,*,*,e143,540,232
*,*,*,*,e144,60,27
*,*,*,*,e145,50,37
*,*,*,*,e146,57,30
*,*,*,*,e147,56,22
*,*,*,*,e148,54,24
*,*,*,*,e149,52,26
*,*,*,*,e15,381,177
*,*,*,*,e150,56,25
*,*,*,*,e151,63,33
*,*,*,*,e152,66,30
*,*,*,*,e153,109,56
*,*,*,*,e154,113,46
*,*,*,*,e155,39,24
*,*,*,*,e156,73,26
*,*,*,*,e157,76,29
*,*,*,*,e158,62,22
*,*,*,*,e159,56,16
*,*,*,*,e16,369,183
*,*,*,*,e160,72,21
*,*,*,*,e161,69,24
*,*,*,*,e162,75,24
*,*,*,*,e163,70,23
*,*,*,*,e164,71,19
*,*,*,*,e165,65,22
*,*,*,*,e166,63,36
*,*,*,*,e167,76,38
*,*,*,*,e168,88,29
*,*,*,*,e169,109,38
*,*,*,*,e17,414,177
*,*,*,*,e170,49,23
*,*,*,*,e171,47,13
*,*,*,*,e172,101,37
*,*,*,*,e173,51,33
*,*,*,*,e174,58,26
*,*,*,*,e175,50,16
*,*,*,*,e176,576,264
*,*,*,*,e177,610,236
*,*,*,*,e178,110,43
*,*,*,*,e179,115,50
*,*,*,*,e18,408,165
*,*,*,*,e180,119,49
*,*,*,*,e181,116,43
*,*,*,*,e182,584,244
*,*,*,*,e183,590,232
*,*,*,*,e184,583,272
*,*,*,*,e185,570,246
*,*,*,*,e186,569,250
*,*,*,*,e187,570,243
*,*,*,*,e188,563,286
*,*,*,*,e189,562,269
*,*,*,*,e19,374,142
*,*,*,*,e190,594,249
*,*,*,*,e191,583,254
*,*,*,*,e192,62,28
*,*,*,*,e193,66,27
*,*,*,*,e194,67,35
*,*,*,*,e195,100,44
*,*,*,*,e196,102,36
*,*,*,*,e197,82,47
*,*,*,*,e198,93,27
*,*,*,*,e199,55,29
*,*,*,*,e2,349,128
*,*,*,*,e20,399,165
*,*,*,*,e200,55,26
*,*,*,*,e201,54,30
*,*,*,*,e202,79,26
*,*,*,*,e203,74,46
*,*,*,*,e204,79,35
*,*,*,*,e205,89,28
*,*,*,*,e21,395,178
