DOMAIN,province,user_type,os,cdn_server,normal,abnormal
a0,*,*,*,*,5106.0,0.0
a1,*,*,*,*,348.0,0.0
a10,*,*,*,*,480.0,0.0
a11,*,*,*,*,633.0,0.0
a12,*,*,*,*,9351.0,0.0
a13,*,*,*,*,423.0,0.0
a14,*,*,*,*,747.0,0.0
a15,*,*,*,*,3480.0,0.0
a16,*,*,*,*,7974.0,0.0
a17,*,*,*,*,1938.0,0.0
a18,*,*,*,*,417.0,0.0
a19,*,*,*,*,18.0,0.0
a2,*,*,*,*,12.0,0.0
a20,*,*,*,*,2391.0,0.0
a21,*,*,*,*,32262.0,21.0
a22,*,*,*,*,765.0,0.0
a23,*,*,*,*,132.0,0.0
a24,*,*,*,*,432.0,0.0
a25,*,*,*,*,1026.0,0.0
a26,*,*,*,*,6.0,0.0
a27,*,*,*,*,921.0,0.0
a28,*,*,*,*,453.0,0.0
a29,*,*,*,*,753.0,0.0
a3,*,*,*,*,4977.0,0.0
a30,*,*,*,*,519.0,0.0
a31,*,*,*,*,546.0,0.0
a32,*,*,*,*,639.0,0.0
a33,*,*,*,*,543.0,0.0
a34,*,*,*,*,588.0,0.0
a35,*,*,*,*,534.0,0.0
a36,*,*,*,*,558.0,0.0
a37,*,*,*,*,315.0,0.0
a38,*,*,*,*,636.0,0.0
a39,*,*,*,*,516.0,0.0
a4,*,*,*,*,4863.0,0.0
a40,*,*,*,*,711.0,0.0
a41,*,*,*,*,834.0,0.0
a42,*,*,*,*,552.0,0.0
a43,*,*,*,*,687.0,0.0
a44,*,*,*,*,768.0,0.0
a45,*,*,*,*,36.0,0.0
a46,*,*,*,*,411.0,0.0
a47,*,*,*,*,612.0,0.0
a5,*,*,*,*,1236.0,0.0
a6,*,*,*,*,837.0,0.0
a7,*,*,*,*,423.0,0.0
a8,*,*,*,*,2382.0,0.0
a9,*,*,*,*,630.0,0.0
*,b0,*,*,*,19097.0,0.0
*,b1,*,*,*,1530.0,0.0
*,b10,*,*,*,306.0,0.0
*,b11,*,*,*,921.0,0.0
*,b12,*,*,*,1662.0,0.0
*,b13,*,*,*,333.0,0.0
*,b14,*,*,*,3857.0,0.0
*,b15,*,*,*,918.0,0.0
*,b16,*,*,*,1641.0,0.0
*,b17,*,*,*,4659.0,0.0
*,b18,*,*,*,8280.0,0.0
*,b19,*,*,*,594.0,0.0
*,b2,*,*,*,330.0,0.0
*,b20,*,*,*,858.0,0.0
*,b21,*,*,*,330.0,0.0
*,b22,*,*,*,291.0,0.0
