DOMAIN,province,user_type,os,cdn_server,normal,abnormal
a0,*,*,*,*,4602.0,504.0
a1,*,*,*,*,319.0,29.0
a10,*,*,*,*,424.0,56.0
a11,*,*,*,*,555.0,78.0
a12,*,*,*,*,8439.0,912.0
a13,*,*,*,*,379.0,44.0
a14,*,*,*,*,681.0,66.0
a15,*,*,*,*,3127.0,353.0
a16,*,*,*,*,7149.0,825.0
a17,*,*,*,*,1736.0,202.0
a18,*,*,*,*,375.0,42.0
a19,*,*,*,*,17.0,1.0
a2,*,*,*,*,12.0,0.0
a20,*,*,*,*,2151.0,240.0
a21,*,*,*,*,29159.0,3124.0
a22,*,*,*,*,674.0,91.0
a23,*,*,*,*,21.0,111.0
a24,*,*,*,*,389.0,43.0
a25,*,*,*,*,912.0,114.0
a26,*,*,*,*,4.0,2.0
a27,*,*,*,*,837.0,84.0
a28,*,*,*,*,411.0,42.0
a29,*,*,*,*,683.0,70.0
a3,*,*,*,*,4477.0,500.0
a30,*,*,*,*,479.0,40.0
a31,*,*,*,*,479.0,67.0
a32,*,*,*,*,575.0,64.0
a33,*,*,*,*,492.0,51.0
a34,*,*,*,*,517.0,71.0
a35,*,*,*,*,479.0,55.0
a36,*,*,*,*,501.0,57.0
a37,*,*,*,*,286.0,29.0
a38,*,*,*,*,587.0,49.0
a39,*,*,*,*,462.0,54.0
a4,*,*,*,*,4321.0,542.0
a40,*,*,*,*,646.0,65.0
a41,*,*,*,*,758.0,76.0
a42,*,*,*,*,493.0,59.0
a43,*,*,*,*,620.0,67.0
a44,*,*,*,*,698.0,70.0
a45,*,*,*,*,32.0,4.0
a46,*,*,*,*,356.0,55.0
a47,*,*,*,*,546.0,66.0
a5,*,*,*,*,1106.0,130.0
a6,*,*,*,*,757.0,80.0
a7,*,*,*,*,384.0,39.0
a8,*,*,*,*,2154.0,228.0
a9,*,*,*,*,560.0,70.0
*,b0,*,*,*,17123.0,1974.0
*,b1,*,*,*,1365.0,165.0
*,b10,*,*,*,278.0,28.0
*,b11,*,*,*,834.0,87.0
*,b12,*,*,*,1506.0,156.0
*,b13,*,*,*,302.0,31.0
*,b14,*,*,*,3487.0,370.0
*,b15,*,*,*,834.0,84.0
*,b16,*,*,*,1473.0,168.0
*,b17,*,*,*,4207.0,452.0
*,b18,*,*,*,7419.0,861.0
*,b19,*,*,*,532.0,62.0
*,b2,*,*,*,298.0,32.0
*,b20,*,*,*,772.0,86.0
*,b21,*,*,*,302.0,28.0
*,b22,*,*,*,259.0,32.0
*,b23,*,*,*,1185.0,156.0
*,b24,*,*,*,485.0,55.0
*,b25,*,*,*,2217.0,255.0
*,b26,*,*,*,81.0,3.0
*,b27,*,*,*,508.0,56.0
*,b28,*,*,*,182.0,34.0
*,b3,*,*,*,1676.0,181.0
*,b4,*,*,*,870.0,102.0
*,b5,*,*,*,647.0,67.0
*,b6,*,*,*,1081.0,113.0
*,b7,*,*,*,9.0,0.0
*,b8,*,*,*,1727.0,196.0
*,b9,*,*,*,34162.0,3787.0
*,*,c0,*,*,19119.0,2159.0
*,*,c1,*,*,19085.0,2127.0
*,*,c2,*,*,8443.0,977.0
*,*,c3,*,*,13994.0,1515.0
*,*,c4,*,*,10984.0,1236.0
*,*,c5,*,*,14196.0,1607.0
*,*,*,d0,*,21579.0,2427.0
