DOMAIN,province,user_type,os,cdn_server,normal,abnormal
a0,*,*,*,*,4064.0,1042.0
a1,*,*,*,*,265.0,83.0
a10,*,*,*,*,388.0,92.0
a11,*,*,*,*,500.0,133.0
a12,*,*,*,*,7472.0,1879.0
a13,*,*,*,*,336.0,87.0
a14,*,*,*,*,591.0,156.0
a15,*,*,*,*,2792.0,688.0
a16,*,*,*,*,6367.0,1607.0
a17,*,*,*,*,1534.0,404.0
a18,*,*,*,*,323.0,94.0
a19,*,*,*,*,13.0,5.0
a2,*,*,*,*,10.0,2.0
a20,*,*,*,*,1898.0,493.0
a21,*,*,*,*,25701.0,6582.0
a22,*,*,*,*,606.0,159.0
a23,*,*,*,*,105.0,27.0
a24,*,*,*,*,347.0,85.0
a25,*,*,*,*,802.0,224.0
a26,*,*,*,*,2.0,4.0
a27,*,*,*,*,721.0,200.0
a28,*,*,*,*,364.0,89.0
a29,*,*,*,*,606.0,147.0
a3,*,*,*,*,3958.0,1019.0
a30,*,*,*,*,419.0,100.0
a31,*,*,*,*,446.0,100.0
a32,*,*,*,*,504.0,135.0
a33,*,*,*,*,434.0,109.0
a34,*,*,*,*,453.0,135.0
a35,*,*,*,*,431.0,103.0
a36,*,*,*,*,432.0,126.0
a37,*,*,*,*,255.0,60.0
a38,*,*,*,*,504.0,132.0
a39,*,*,*,*,425.0,91.0
a4,*,*,*,*,3847.0,1016.0
a40,*,*,*,*,558.0,153.0
a41,*,*,*,*,658.0,176.0
a42,*,*,*,*,444.0,108.0
a43,*,*,*,*,566.0,121.0
a44,*,*,*,*,639.0,129.0
a45,*,*,*,*,26.0,10.0
a46,*,*,*,*,340.0,71.0
a47,*,*,*,*,492.0,120.0
a5,*,*,*,*,1008.0,228.0
a6,*,*,*,*,670.0,167.0
a7,*,*,*,*,339.0,84.0
a8,*,*,*,*,1924.0,458.0
a9,*,*,*,*,500.0,130.0
*,b0,*,*,*,15134.0,3963.0
*,b1,*,*,*,1215.0,315.0
*,b10,*,*,*,247.0,59.0
*,b11,*,*,*,744.0,177.0
*,b12,*,*,*,1310.0,352.0
*,b13,*,*,*,271.0,62.0
*,b14,*,*,*,3079.0,778.0
*,b15,*,*,*,731.0,187.0
*,b16,*,*,*,1350.0,291.0
*,b17,*,*,*,3740.0,919.0
*,b18,*,*,*,6622.0,1658.0
*,b19,*,*,*,469.0,125.0
*,b2,*,*,*,273.0,57.0
*,b20,*,*,*,700.0,158.0
*,b21,*,*,*,253.0,77.0
*,b22,*,*,*,234.0,57.0
*,b23,*,*,*,1073.0,268.0
*,b24,*,*,*,439.0,101.0
*,b25,*,*,*,1953.0,519.0
*,b26,*,*,*,61.0,23.0
*,b27,*,*,*,461.0,103.0
*,b28,*,*,*,172.0,44.0
*,b3,*,*,*,1488.0,369.0
*,b4,*,*,*,782.0,190.0
*,b5,*,*,*,568.0,146.0
*,b6,*,*,*,958.0,236.0
*,b7,*,*,*,7.0,2.0
*,b8,*,*,*,1563.0,360.0
*,b9,*,*,*,30182.0,7767.0
*,*,c0,*,*,16991.0,4287.0
*,*,c1,*,*,16930.0,4282.0
*,*,c2,*,*,7464.0,1956.0
*,*,c3,*,*,12406.0,3103.0
*,*,c4,*,*,9705.0,2515.0
*,*,c5,*,*,12583.0,3220.0
*,*,*,d0,*,19186.0,4820.0
*,*,*,d1,*,17798.0,4495.0
*,*,*,d2,*,11119.0,2837.0
*,*,*,d3,*,17404.0,4460.0
*,*,*,d4,*,10572.0,2751.0
*,*,*,*,e0,426.0,90.0
*,*,*,*,e1,425.0,109.0
*,*,*,*,e10,409.0,122.0
*,*,*,*,e100,112.0,26.0
*,*,*,*,e101,197.0,52.0
*,*,*,*,e102,193.0,50.0
*,*,*,*,e103,198.0,51.0
*,*,*,*,e104,225.0,51.0
*,*,*,*,e105,170.0,58.0
*,*,*,*,e106,204.0,45.0
*,*,*,*,e107,209.0,61.0
*,*,*,*,e108,181.0,41.0
*,*,*,*,e109,193.0,47.0
*,*,*,*,e11,441.0,120.0
*,*,*,*,e110,189.0,48.0
*,*,*,*,e111,211.0,44.0
*,*,*,*,e112,187.0,47.0
*,*,*,*,e113,195.0,48.0
*,*,*,*,e114,205.0,56.0
*,*,*,*,e115,220.0,38.0
*,*,*,*,e116,192.0,60.0
*,*,*,*,e117,199.0,59.0
*,*,*,*,e118,204.0,45.0
*,*,*,*,e119,195.0,39.0
*,*,*,*,e12,421.0,113.0
*,*,*,*,e120,5.0,3.0
*,*,*,*,e121,6.0,2.0
*,*,*,*,e122,5.0,3.0
*,*,*,*,e123,8.0,0.0
*,*,*,*,e124,7.0,1.0
*,*,*,*,e125,6.0,2.0
*,*,*,*,e126,213.0,54.0
*,*,*,*,e127,186.0,60.0
*,*,*,*,e128,418.0,98.0
*,*,*,*,e129,436.0,101.0
*,*,*,*,e13,427.0,101.0
*,*,*,*,e130,452.0,118.0
*,*,*,*,e131,433.0,104.0
*,*,*,*,e132,443.0,116.0
*,*,*,*,e133,405.0,106.0
*,*,*,*,e134,445.0,93.0
*,*,*,*,e135,454.0,116.0
*,*,*,*,e136,431.0,122.0
*,*,*,*,e137,385.0,141.0
*,*,*,*,e138,441.0,92.0
*,*,*,*,e139,427.0,92.0
*,*,*,*,e14,429.0,105.0
*,*,*,*,e140,435.0,103.0
*,*,*,*,e141,424.0,111.0
*,*,*,*,e142,402.0,112.0
*,*,*,*,e143,611.0,161.0
*,*,*,*,e144,69.0,18.0
*,*,*,*,e145,67.0,20.0
*,*,*,*,e146,76.0,11.0
*,*,*,*,e147,66.0,12.0
*,*,*,*,e148,70.0,8.0
*,*,*,*,e149,60.0,18.0
*,*,*,*,e15,426.0,132.0
*,*,*,*,e150,63.0,18.0
*,*,*,*,e151,85.0,11.0
*,*,*,*,e152,74.0,22.0
*,*,*,*,e153,127.0,38.0
*,*,*,*,e154,129.0,30.0
*,*,*,*,e155,54.0,9.0
*,*,*,*,e156,78.0,21.0
*,*,*,*,e157,82.0,23.0
*,*,*,*,e158,66.0,18.0
*,*,*,*,e159,60.0,12.0
*,*,*,*,e16,444.0,108.0
*,*,*,*,e160,73.0,20.0
*,*,*,*,e161,71.0,22.0
*,*,*,*,e162,80.0,19.0
*,*,*,*,e163,78.0,15.0
*,*,*,*,e164,70.0,20.0
*,*,*,*,e165,62.0,25.0
*,*,*,*,e166,81.0,18.0
*,*,*,*,e167,88.0,26.0
*,*,*,*,e168,93.0,24.0
*,*,*,*,e169,117.0,30.0
*,*,*,*,e17,464.0,127.0
*,*,*,*,e170,55.0,17.0
*,*,*,*,e171,49.0,11.0
*,*,*,*,e172,114.0,24.0
*,*,*,*,e173,64.0,20.0
*,*,*,*,e174,61.0,23.0
*,*,*,*,e175,45.0,21.0
*,*,*,*,e176,685.0,155.0
*,*,*,*,e177,686.0,160.0
*,*,*,*,e178,128.0,25.0
*,*,*,*,e179,141.0,24.0
*,*,*,*,e18,457.0,116.0
*,*,*,*,e180,125.0,43.0
*,*,*,*,e181,107.0,52.0
*,*,*,*,e182,665.0,163.0
*,*,*,*,e183,658.0,164.0
*,*,*,*,e184,678.0,177.0
*,*,*,*,e185,658.0,158.0
*,*,*,*,e186,644.0,175.0
*,*,*,*,e187,640.0,173.0
*,*,*,*,e188,690.0,159.0
*,*,*,*,e189,666.0,165.0
*,*,*,*,e19,420.0,96.0
*,*,*,*,e190,656.0,187.0
*,*,*,*,e191,682.0,155.0
*,*,*,*,e192,70.0,20.0
*,*,*,*,e193,76.0,17.0
*,*,*,*,e194,85.0,17.0
*,*,*,*,e195,112.0,32.0
*,*,*,*,e196,107.0,31.0
*,*,*,*,e197,101.0,28.0
*,*,*,*,e198,92.0,28.0
*,*,*,*,e199,74.0,10.0
*,*,*,*,e2,393.0,84.0
*,*,*,*,e20,455.0,109.0
*,*,*,*,e200,58.0,23.0
*,*,*,*,e201,67.0,17.0
*,*,*,*,e202,81.0,24.0
*,*,*,*,e203,93.0,27.0
*,*,*,*,e204,100.0,14.0
*,*,*,*,e205,92.0,25.0
*,*,*,*,e21,456.0,117.0
*,*,*,*,e22,451.0,104.0
*,*,*,*,e23,412.0,107.0
*,*,*,*,e24,442.0,107.0
*,*,*,*,e25,412.0,104.0
*,*,*,*,e26,387.0,114.0
*,*,*,*,e27,444.0,117.0
*,*,*,*,e28,437.0,109.0
*,*,*,*,e29,429.0,108.0
*,*,*,*,e3,427.0,104.0
*,*,*,*,e30,415.0,107.0
*,*,*,*,e31,429.0,129.0
*,*,*,*,e32,456.0,123.0
*,*,*,*,e33,384.0,108.0
*,*,*,*,e34,409.0,92.0
*,*,*,*,e35,334.0,173.0
*,*,*,*,e36,421.0,104.0
*,*,*,*,e37,464.0,112.0
*,*,*,*,e38,831.0,195.0
*,*,*,*,e39,829.0,200.0
*,*,*,*,e4,417.0,111.0
*,*,*,*,e40,826.0,233.0
*,*,*,*,e41,837.0,201.0
*,*,*,*,e42,825.0,219.0
*,*,*,*,e43,832.0,197.0
*,*,*,*,e44,784.0,185.0
*,*,*,*,e45,857.0,211.0
*,*,*,*,e46,861.0,210.0
*,*,*,*,e47,423.0,117.0
*,*,*,*,e48,436.0,119.0
*,*,*,*,e49,447.0,99.0
*,*,*,*,e5,419.0,97.0
*,*,*,*,e50,413.0,106.0
*,*,*,*,e51,426.0,111.0
*,*,*,*,e52,474.0,111.0
*,*,*,*,e53,453.0,111.0
*,*,*,*,e54,419.0,94.0
*,*,*,*,e55,443.0,109.0
*,*,*,*,e56,421.0,113.0
*,*,*,*,e57,482.0,109.0
*,*,*,*,e58,440.0,118.0
*,*,*,*,e59,454.0,119.0
*,*,*,*,e6,478.0,116.0
*,*,*,*,e60,460.0,113.0
*,*,*,*,e61,402.0,129.0
*,*,*,*,e62,405.0,87.0
*,*,*,*,e63,766.0,224.0
*,*,*,*,e64,764.0,231.0
*,*,*,*,e65,820.0,203.0
*,*,*,*,e66,765.0,198.0
*,*,*,*,e67,758.0,187.0
*,*,*,*,e68,773.0,196.0
*,*,*,*,e69,785.0,202.0
*,*,*,*,e7,433.0,104.0
*,*,*,*,e70,774.0,189.0
*,*,*,*,e71,784.0,191.0
*,*,*,*,e72,774.0,204.0
*,*,*,*,e73,758.0,205.0
*,*,*,*,e74,814.0,176.0
*,*,*,*,e75,800.0,172.0
*,*,*,*,e76,755.0,211.0
*,*,*,*,e77,756.0,195.0
*,*,*,*,e78,767.0,189.0
*,*,*,*,e79,746.0,196.0
*,*,*,*,e8,470.0,88.0
*,*,*,*,e80,782.0,202.0
*,*,*,*,e81,768.0,195.0
*,*,*,*,e82,805.0,197.0
*,*,*,*,e83,795.0,207.0
*,*,*,*,e84,751.0,185.0
*,*,*,*,e85,745.0,218.0
*,*,*,*,e86,767.0,208.0
*,*,*,*,e87,807.0,222.0
*,*,*,*,e88,205.0,44.0
*,*,*,*,e89,202.0,32.0
*,*,*,*,e9,408.0,114.0
*,*,*,*,e90,209.0,61.0
*,*,*,*,e91,201.0,45.0
*,*,*,*,e92,196.0,44.0
*,*,*,*,e93,212.0,43.0
*,*,*,*,e94,201.0,57.0
*,*,*,*,e95,211.0,41.0
*,*,*,*,e96,206.0,58.0
*,*,*,*,e97,214.0,62.0
*,*,*,*,e98,189.0,51.0
*,*,*,*,e99,202.0,56.0
