DOMAIN,province,user_type,os,cdn_server,normal,abnormal
315.live.cmvideo.cn,9999,*,*,*,674.0,166.0
315.live.cmvideo.cn,上海,*,*,*,50.0,16.0
315.live.cmvideo.cn,北京,*,*,*,32.0,10.0
315.live.cmvideo.cn,天津,*,*,*,80.0,22.0
315.live.cmvideo.cn,山东,*,*,*,1554.0,387.0
315.live.cmvideo.cn,广西,*,*,*,19.0,5.0
315.live.cmvideo.cn,江苏,*,*,*,246.0,54.0
315.live.cmvideo.cn,河北,*,*,*,2.0,1.0
315.live.cmvideo.cn,河南,*,*,*,668.0,190.0
315.live.cmvideo.cn,浙江,*,*,*,751.0,179.0
cache.family.migu.cn,9999,*,*,*,21.0,6.0
cache.family.migu.cn,北京,*,*,*,3.0,0.0
cache.family.migu.cn,山东,*,*,*,182.0,37.0
cache.family.migu.cn,河南,*,*,*,24.0,3.0
cache.family.migu.cn,浙江,*,*,*,58.0,14.0
download.mlocso.com,9999,*,*,*,2.0,1.0
download.mlocso.com,北京,*,*,*,2.0,1.0
download.mlocso.com,山东,*,*,*,3.0,0.0
download.mlocso.com,浙江,*,*,*,3.0,0.0
hlsmgspdl.miguvideo.com,9999,*,*,*,630.0,165.0
hlsmgspdl.miguvideo.com,上海,*,*,*,18.0,0.0
hlsmgspdl.miguvideo.com,北京,*,*,*,41.0,4.0
hlsmgspdl.miguvideo.com,安徽,*,*,*,11.0,1.0
hlsmgspdl.miguvideo.com,山东,*,*,*,1394.0,334.0
hlsmgspdl.miguvideo.com,广东,*,*,*,29.0,4.0
hlsmgspdl.miguvideo.com,广西,*,*,*,3.0,0.0
hlsmgspdl.miguvideo.com,江苏,*,*,*,236.0,40.0
hlsmgspdl.miguvideo.com,河北,*,*,*,5.0,1.0
hlsmgspdl.miguvideo.com,河南,*,*,*,741.0,210.0
hlsmgspdl.miguvideo.com,浙江,*,*,*,849.0,207.0
hlsmgspdl.miguvideo.com,湖北,*,*,*,32.0,7.0
