DOMAIN,province,user_type,os,cdn_server,normal,abnormal
a0,*,*,*,*,3584.0,1522.0
a1,*,*,*,*,252.0,96.0
a10,*,*,*,*,331.0,149.0
a11,*,*,*,*,449.0,184.0
a12,*,*,*,*,6566.0,2785.0
a13,*,*,*,*,295.0,128.0
a14,*,*,*,*,544.0,203.0
a15,*,*,*,*,2446.0,1034.0
a16,*,*,*,*,5561.0,2413.0
a17,*,*,*,*,1363.0,575.0
a18,*,*,*,*,289.0,128.0
a19,*,*,*,*,11.0,7.0
a2,*,*,*,*,11.0,1.0
a20,*,*,*,*,1689.0,702.0
a21,*,*,*,*,22577.0,9706.0
a22,*,*,*,*,537.0,228.0
a23,*,*,*,*,96.0,36.0
a24,*,*,*,*,319.0,113.0
a25,*,*,*,*,710.0,316.0
a26,*,*,*,*,3.0,3.0
a27,*,*,*,*,651.0,270.0
a28,*,*,*,*,312.0,141.0
a29,*,*,*,*,528.0,225.0
a3,*,*,*,*,3465.0,1512.0
a30,*,*,*,*,345.0,174.0
a31,*,*,*,*,367.0,179.0
a32,*,*,*,*,431.0,208.0
a33,*,*,*,*,360.0,183.0
a34,*,*,*,*,399.0,189.0
a35,*,*,*,*,367.0,167.0
a36,*,*,*,*,402.0,156.0
a37,*,*,*,*,208.0,107.0
a38,*,*,*,*,444.0,192.0
a39,*,*,*,*,342.0,174.0
a4,*,*,*,*,3396.0,1467.0
a40,*,*,*,*,488.0,223.0
a41,*,*,*,*,576.0,258.0
a42,*,*,*,*,398.0,154.0
a43,*,*,*,*,487.0,200.0
a44,*,*,*,*,543.0,225.0
a45,*,*,*,*,24.0,12.0
a46,*,*,*,*,290.0,121.0
a47,*,*,*,*,418.0,194.0
a5,*,*,*,*,863.0,373.0
a6,*,*,*,*,588.0,249.0
a7,*,*,*,*,311.0,112.0
a8,*,*,*,*,1678.0,704.0
a9,*,*,*,*,425.0,205.0
*,b0,*,*,*,13322.0,5775.0
*,b1,*,*,*,1082.0,448.0
*,b10,*,*,*,215.0,91.0
*,b11,*,*,*,630.0,291.0
*,b12,*,*,*,1129.0,533.0
*,b13,*,*,*,227.0,106.0
*,b14,*,*,*,2701.0,1156.0
*,b15,*,*,*,630.0,288.0
*,b16,*,*,*,1164.0,477.0
*,b17,*,*,*,3238.0,1421.0
*,b18,*,*,*,5784.0,2496.0
*,b19,*,*,*,419.0,175.0
*,b2,*,*,*,235.0,95.0
*,b20,*,*,*,606.0,252.0
*,b21,*,*,*,233.0,97.0
*,b22,*,*,*,203.0,88.0
*,b23,*,*,*,959.0,382.0
*,b24,*,*,*,371.0,169.0
*,b25,*,*,*,1746.0,726.0
*,b26,*,*,*,69.0,15.0
*,b27,*,*,*,405.0,159.0
*,b28,*,*,*,150.0,66.0
*,b3,*,*,*,1286.0,571.0
*,b4,*,*,*,693.0,279.0
*,b5,*,*,*,524.0,190.0
*,b6,*,*,*,836.0,358.0
*,b7,*,*,*,5.0,4.0
*,b8,*,*,*,1328.0,595.0
*,b9,*,*,*,26549.0,11400.0
*,*,c0,*,*,14932.0,6346.0
*,*,c1,*,*,14744.0,6468.0
*,*,c2,*,*,6566.0,2854.0
*,*,c3,*,*,10885.0,4624.0
*,*,c4,*,*,8583.0,3637.0
*,*,c5,*,*,11029.0,4774.0
*,*,*,d0,*,16780.0,7226.0
*,*,*,d1,*,15623.0,6670.0
*,*,*,d2,*,9757.0,4199.0
*,*,*,d3,*,15344.0,6520.0
*,*,*,d4,*,9235.0,4088.0
*,*,*,*,e0,363.0,153.0
*,*,*,*,e1,356.0,178.0
*,*,*,*,e10,381.0,150.0
*,*,*,*,e100,98.0,40.0
*,*,*,*,e101,170.0,79.0
*,*,*,*,e102,153.0,90.0
*,*,*,*,e103,175.0,74.0
*,*,*,*,e104,194.0,82.0
*,*,*,*,e105,171.0,57.0
*,*,*,*,e106,179.0,70.0
*,*,*,*,e107,204.0,66.0
*,*,*,*,e108,148.0,74.0
*,*,*,*,e109,179.0,61.0
*,*,*,*,e11,405.0,156.0
*,*,*,*,e110,163.0,74.0
*,*,*,*,e111,173.0,82.0
*,*,*,*,e112,169.0,65.0
*,*,*,*,e113,172.0,71.0
*,*,*,*,e114,175.0,86.0
*,*,*,*,e115,182.0,76.0
*,*,*,*,e116,190.0,62.0
*,*,*,*,e117,192.0,66.0
*,*,*,*,e118,164.0,85.0
*,*,*,*,e119,163.0,71.0
*,*,*,*,e12,386.0,148.0
*,*,*,*,e120,3.0,5.0
*,*,*,*,e121,6.0,2.0
*,*,*,*,e122,5.0,3.0
*,*,*,*,e123,4.0,4.0
*,*,*,*,e124,4.0,4.0
*,*,*,*,e125,8.0,0.0
*,*,*,*,e126,174.0,93.0
*,*,*,*,e127,172.0,74.0
*,*,*,*,e128,360.0,156.0
*,*,*,*,e129,365.0,172.0
*,*,*,*,e13,374.0,154.0
*,*,*,*,e130,394.0,176.0
*,*,*,*,e131,362.0,175.0
*,*,*,*,e132,392.0,167.0
*,*,*,*,e133,360.0,151.0
*,*,*,*,e134,374.0,164.0
*,*,*,*,e135,411.0,159.0
*,*,*,*,e136,399.0,154.0
*,*,*,*,e137,379.0,147.0
*,*,*,*,e138,361.0,172.0
*,*,*,*,e139,375.0,144.0
*,*,*,*,e14,389.0,145.0
*,*,*,*,e140,369.0,169.0
*,*,*,*,e141,367.0,168.0
*,*,*,*,e142,358.0,156.0
*,*,*,*,e143,533.0,239.0
*,*,*,*,e144,58.0,29.0
*,*,*,*,e145,66.0,21.0
*,*,*,*,e146,60.0,27.0
*,*,*,*,e147,53.0,25.0
*,*,*,*,e148,54.0,24.0
*,*,*,*,e149,55.0,23.0
*,*,*,*,e15,374.0,184.0
*,*,*,*,e150,56.0,25.0
*,*,*,*,e151,68.0,28.0
*,*,*,*,e152,70.0,26.0
*,*,*,*,e153,119.0,46.0
*,*,*,*,e154,112.0,47.0
